arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
consistent_reference,35,12371753132793142249,5026973335044610631,safe_adaptive_hybrid,blind_35,0.9477362597621022,24.50472667341785,10.391787647948904,2.1562418282668427,100.0,25.004435868932898,0.0,315.80424999999997,yes,,,,,,,,,0.468,0.040279819652502546,15.208380040950543,24.50472667341785,0.0,0.019374987932817184,10.283898548424606,aligned_split_step,True
consistent_reference,36,17486143900228895629,1908510169880595116,safe_adaptive_hybrid,blind_36,1.249045962099074,31.75254164062581,6.933030578746402,4.070297787627927,100.0,24.732260958711567,0.0,292.43449999999996,yes,,,,,,,,,0.724,0.02919734829428265,16.743873381896684,31.75254164062581,0.0,0.015344730713275863,14.679127447541036,aligned_split_step,True
consistent_reference,37,4778364348318005161,8264065467822704700,safe_adaptive_hybrid,blind_37,2.371332588639607,30.090908550074296,7.607913338294607,5.248946957990762,100.0,24.54324882434221,0.0,518.27175,no,force_rmse,,,,,,,,0.78,0.025838878094700105,17.10198470069782,30.090908550074296,0.0,0.014099313267019308,14.97123727306176,aligned_split_step,True
consistent_reference,38,16419433584203198316,15393748500866209412,safe_adaptive_hybrid,blind_38,1.1871984523010888,31.56762373229359,13.298054478240136,2.1258475064380042,100.0,23.850107270930774,0.0,288.52485,yes,,,,,,,,,0.46,0.04278061980282327,19.528866331181234,31.56762373229359,0.0,0.019144344217070723,10.618077786105534,aligned_split_step,True
consistent_reference,39,16230882037532323995,12979726015522266593,safe_adaptive_hybrid,blind_39,1.0895096490139247,29.539749740018163,11.73653705363116,2.690992756498387,100.0,24.76265223153861,0.0,307.16255,yes,,,,,,,,,0.436,0.04686944947510941,23.673804854568708,29.539749740018163,0.0,0.01919462274687214,10.699973189024899,aligned_split_step,True
consistent_reference,40,6962791529958519731,4121268961919417700,safe_adaptive_hybrid,blind_40,2.27959404219921,61.592281313845696,6.312906466648016,4.757905341674479,100.0,27.68526592000228,0.0,316.0708,no,force_rmse;peak_force,,,,,,,,0.582,0.21033117335788193,61.592281313845696,36.4454490173028,0.034,0.2434235609308694,13.615932330343599,aligned_split_step,True
consistent_reference,41,17629201266240775912,14920663675138664996,safe_adaptive_hybrid,blind_41,1.0740129651110542,29.437907983874897,11.61879092612064,1.0517372932601188,100.0,23.883800847482835,0.0,297.6636,yes,,,,,,,,,0.518,0.03142358066145893,13.426263676938932,29.437907983874897,0.0,0.014753413802331344,11.950967443986297,aligned_split_step,True
consistent_reference,42,14853935868330129831,15924154672467842439,safe_adaptive_hybrid,blind_42,0.868666312946364,23.74490689552288,9.955509203329987,1.7578406126453037,100.0,24.98402003732726,0.0,300.43629999999996,yes,,,,,,,,,0.504,0.03581775015648195,12.909639001321906,23.74490689552288,0.0,0.025642810610779054,11.093125637965786,aligned_split_step,True
consistent_reference,43,17271684737988514838,16674642728411499993,safe_adaptive_hybrid,blind_43,0.850943307644484,23.259326801465548,7.087862397000078,0.8050451108873189,100.0,24.910147073867368,0.0,510.6226,yes,,,,,,,,,0.59,0.027560166036216818,12.20261394591897,23.259326801465548,0.0,0.017244855161720345,12.25579240282131,aligned_split_step,True
consistent_reference,44,8741657526254647773,4889036090055758018,safe_adaptive_hybrid,blind_44,1.1081460124096567,30.591848336617954,14.899919299270914,3.5053788946850584,100.0,24.219346516743958,0.0,303.93254999999994,yes,,,,,,,,,0.384,0.053612138133160445,24.150252131723455,30.591848336617954,0.0,0.021456090371022973,9.41677171587078,aligned_split_step,True
