profile,arm,case_index,scenario,simulation_seed,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio,legacy_metric_max_abs_error,repair_pass,failed_repair_checks
legacy,surface_minus5,14,surface_dev_14,11,-5.0,0.0,0.012,0.13,True,10.190829227322075,27.3245120266504,11.76064044127133,59.8,0.0,0.41083165488544116,10.620443543985516,0.0,0.5740000000000001,38.9862688990536,5.414299170237198,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,15,surface_dev_15,29,-5.0,0.0,0.012,0.13,True,10.183803026670404,26.948122815286613,11.756199644458908,59.66666666666667,0.0,0.41115221772098426,10.617121318228538,0.0,0.5740000000000001,36.697562816899456,5.4001395235305205,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,16,surface_dev_16,11,10.0,15.0,0.005,0.1,True,11.688389783463656,33.620048709666435,11.778964448734955,53.266666666666666,0.0,0.3818000534182001,12.190656105710355,0.0,0.544,49.653057307665755,5.38200728294057,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,17,surface_dev_17,29,10.0,15.0,0.005,0.1,True,11.686221833463463,32.43756798369514,11.771121953583096,53.266666666666666,0.0,0.38208058083865815,12.185131427661593,0.0,0.544,45.61165927071883,5.37238092618064,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,18,surface_dev_18,11,10.0,15.0,0.005,0.13,True,11.790525072634363,32.602571458160995,11.781560385629884,52.86666666666666,0.0,0.381805229475124,12.292169523017739,0.0,0.544,45.16944327571937,5.3829752403984,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,19,surface_dev_19,29,10.0,15.0,0.005,0.13,True,11.765084802263727,32.5321613516825,11.773686940854606,52.86666666666666,0.0,0.3822881503377577,12.267858888791991,0.0,0.544,46.26646104788357,5.375326684535686,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,20,surface_dev_20,11,10.0,15.0,0.012,0.1,True,10.020398217427672,26.826285936756907,11.779167524362208,60.333333333333336,0.0,0.38185539408343094,10.44395408208921,0.0,0.544,41.14260812551965,5.384710759820988,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,21,surface_dev_21,29,10.0,15.0,0.012,0.1,True,10.014347422950857,27.201189784880572,11.769927207974522,60.266666666666666,0.0,0.38223243427053755,10.437518584772286,0.0,0.544,36.4519801322391,5.369750648099541,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,22,surface_dev_22,11,10.0,15.0,0.012,0.13,True,10.097374470485754,27.32957340033967,11.781159936013731,60.0,0.0,0.3819165341193673,10.51847556138409,0.0,0.544,39.40753342561096,5.3848867929808755,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,23,surface_dev_23,29,10.0,15.0,0.012,0.13,True,10.091532977791198,27.16825654088201,11.772642024094091,59.86666666666667,0.0,0.38237252725272675,10.514958723162598,0.0,0.544,41.86226794948914,5.367480414219303,0.45,0.0,no,contact_ratio;raw_force_rmse
